iter	Logloss
0	0.6503380303
1	0.6065821948
2	0.5745350331
3	0.538444519
4	0.5127194241
5	0.4834952208
6	0.4567945498
7	0.4349701821
8	0.4129855388
9	0.3956179301
10	0.3803090345
11	0.365494991
12	0.3525911726
13	0.3390549187
14	0.3255456632
15	0.3121153445
16	0.3027182055
17	0.2947310577
18	0.2860333623
19	0.2795780869
20	0.272148775
21	0.2662871696
22	0.2596114288
23	0.2540201307
24	0.2473856161
25	0.2415421787
26	0.2371977591
27	0.2334701298
28	0.2295884485
29	0.2260914296
30	0.2227370322
31	0.2193668898
32	0.2175078813
33	0.2151015118
34	0.2126539883
35	0.2100662214
36	0.2078355549
37	0.2054783486
38	0.2039838086
39	0.2021249187
440	0.2036060707441	0.2016513633442	0.1999179464343	0.1983830284444	0.1971276714545	0.1954523754646	0.1939763394747	0.1927027394848	0.1914829194949	0.190133274550	0.1887165818551	0.1876646546552	0.1863953828553	0.1855911448554	0.1848098119555	0.1840828423556	0.1832317688557	0.1822896884558	0.1815154988559	0.1809195273660	0.1802625825661	0.179516644962	0.1760499267
63	0.1753499641
64	0.1747684616
65	0.1739524618
66	0.1730643384
67	0.1724883552
68	0.1720221116
69	0.1715798524
70	0.170899819
71	0.1706178717
72	0.1700271984
73	0.1697635015
74	0.1692810866
75	0.1687729226
76	0.1681197673
77	0.1676721968778	0.1673904419779	0.1670188526880	0.1666883314881	0.1665048376882	0.1661141421883	0.1658197729884	0.1650495306885	0.1648420282886	0.1645995252887	0.1641759116888	0.1637864918989	0.1631823429090	0.1628090079191	0.162518094992	0.1622733142993	0.1619273246994	0.161657098
95	0.1613568899
96	0.1610167495
97	0.1606794134
98	0.1603953817
99	0.1602020229
100	0.1599206478
101	0.159594187
102	0.1594045433
103	0.1590053593
104	0.1587019534
105	0.1583471951
106	0.1579571406
107	0.1577105015
108	0.1574826988
109	0.1572590304
110	0.1570935928
111	0.1568512908
112	0.1565625869
113	0.1563589405
114	0.1561729895
115	0.1559345933
116	0.1557647568
117	0.1554288555
118	0.15510268
119	0.154773463
120	0.1543819548
121	0.1538368414
122	0.1536379393
123	0.1532513008
124	0.1531540879
125	0.1529743916
126	0.1527534554
127	0.1524731164
128	0.1523898339
129	0.1522482674
130	0.1521066425
131	0.1519846289
132	0.1518397546
133	0.1515890362
134	0.1513926738
